# ABRIK Runtime Breakdown Benchmark (unified dense/sparse)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Block sizes: 1, 4, 8, 16, 32, 
# Matmul counts: 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 
# Runs per configuration: 10
# Tolerance: 4.94851e-14
# Timings in microseconds
b_sz, num_matmuls, allocation_t, get_factors_t, ungqr_t, reorth_t, qr_t, gemm_A_t, main_loop_t, sketching_t, r_cpy_t, s_cpy_t, norm_t, t_rest, total_t
4, 512, 2777575, 1402976, 8963788, 67100827, 6989899, 7479408, 91287797, 35422, 654981, 462, 135514, 3176, 95544028
4, 512, 2744364, 1400585, 8584487, 66679176, 5869826, 7498566, 89319567, 35443, 579647, 389, 139496, 3473, 93535452
4, 512, 2721682, 1403457, 8145246, 66885548, 4888587, 7496719, 88037871, 35354, 517103, 391, 140630, 3135, 92237852
4, 512, 2755682, 1421070, 7706821, 65754860, 3587173, 7454667, 85060979, 35333, 449874, 385, 141160, 3192, 89310217
4, 512, 2755260, 1495650, 7757250, 65822893, 3977788, 7523867, 85654542, 35395, 463441, 412, 144795, 3436, 89980187
4, 512, 2783362, 1388481, 7659529, 65176009, 4111992, 7461447, 84961059, 49092, 441378, 412, 143077, 5274, 89220053
4, 1024, 5547084, 4937143, 17675853, 224816723, 15207361, 15183515, 274945546, 41644, 1280732, 891, 813679, 11707, 285516332
4, 1024, 5433926, 4864154, 17081077, 221957056, 13179106, 15171585, 269398751, 38092, 1225685, 925, 812708, 5006, 279769320
4, 1024, 5490948, 4936525, 18054128, 225248068, 15982746, 15167986, 276672898, 37439, 1441098, 925, 807023, 5276, 287172162
4, 1024, 5497116, 4918121, 17960052, 225606421, 15563592, 15112670, 276441655, 50375, 1509900, 942, 805227, 11776, 287036192
4, 1024, 5470336, 6147472, 17626065, 224209329, 15285071, 15078796, 274405783, 37314, 1432563, 925, 806740, 5344, 286099955
4, 1024, 5525334, 5015544, 18250879, 229751920, 16531741, 15205617, 281874403, 50303, 1503526, 951, 798924, 92229, 292726968
4, 1024, 5506900, 4844934, 19104432, 230092494, 19975469, 15209635, 286786285, 140289, 1628985, 980, 808010, 5177, 297317305
4, 1024, 5553854, 4887308, 20077279, 229074940, 21184925, 15241377, 288123890, 37234, 1774915, 975, 800037, 5214, 298638058
4, 1024, 5521520, 5007806, 16951429, 225591109, 14158159, 14993973, 273709675, 36609, 1245880, 937, 805827, 5199, 284318448
4, 1024, 5513876, 4905508, 19396640, 230032749, 19015020, 15402911, 286274451, 36155, 1649256, 978, 806442, 4964, 296764499
8, 2, 22432, 2095, 113076, 43267, 2995, 69067, 161507, 38505, 1419, 3, 8, 632, 293499
8, 2, 22683, 2081, 113396, 44035, 2897, 71905, 163297, 36232, 1610, 3, 7, 480, 295329
8, 2, 22826, 2034, 113748, 43201, 2975, 72802, 163838, 36066, 2506, 3, 8, 623, 296792
8, 2, 22497, 2147, 111369, 94543, 2863, 72883, 212944, 36320, 1814, 4, 7, 469, 344916
8, 2, 22577, 2130, 113880, 42762, 2880, 71585, 160953, 35895, 1659, 3, 8, 629, 294008
8, 2, 22669, 2112, 113165, 49506, 2980, 68155, 164955, 36248, 1108, 3, 7, 649, 296602
8, 2, 22775, 2066, 111077, 55282, 2898, 70569, 171742, 35668, 2507, 3, 7, 965, 303817
8, 2, 22799, 2037, 112929, 43358, 3074, 69875, 162359, 37569, 2077, 3, 8, 7185, 300914
8, 2, 22727, 2169, 112526, 42718, 36322, 66547, 156675, 38805, 2021, 3, 8, 660, 324506
8, 2, 22482, 2066, 113839, 42319, 15194, 73435, 177167, 42418, 2221, 3, 7, 645, 314629
8, 4, 43982, 104078, 185983, 110504, 4550, 103380, 339038, 36112, 3584, 4, 15, 896, 593088
