# ABRIK Speed Comparison Benchmark (budgeted checkpointing)
# Precision: double
# Input matrix: /lustre/isaac24/scratch/mmelnic1/data/ABRIK/CurlCurl_3.mtx
# Input size: 1219574 x 1219574
# Format: sparse
# Target rank: 10
# Budget (total matvecs): 4096
# Num runs: 10 (distinct RNG seeds 0..num_runs-1)
# Block sizes: 1, 4, 8, 16, 32, 
# RSVD uses largest block size with k_r = budget_mv / 2
# Tolerance: 4.94851e-14
# ABRIK elapsed = cumulative BK + SVD extraction (not residual eval)
# Spectra/RSVD elapsed = wall clock for that independent call
# Residual: sqrt(||S^{-1}AV-U||^2_F + ||(A'U)S^{-1}-V||^2_F)
# GESDD is deterministic and runs once (reported under run=0)
run, method, b_sz, total_matvecs, err, elapsed_us
6, Spectra, 0, 64, 0.126526, 1377747
6, Spectra, 0, 128, 0.0554115, 2582719
6, Spectra, 0, 256, 0.0276864, 6118903
6, Spectra, 0, 512, 0.00640218, 13244854
6, Spectra, 0, 1024, 0.00125094, 26642480
6, Spectra, 0, 2048, 1.41446e-11, 54873117
6, Spectra, 0, 4096, 2.44454e-14, 70178191
6, RSVD, 32, 1, 0.355007, 149939
6, RSVD, 32, 2, 0.355007, 101044
6, RSVD, 32, 4, 0.503675, 124869
6, RSVD, 32, 8, 0.711705, 189984
6, RSVD, 32, 16, 1.0077, 322315
6, RSVD, 32, 32, 1.11692, 610113
6, RSVD, 32, 64, 1.10668, 1160443
6, RSVD, 32, 128, 1.09679, 2474499
6, RSVD, 32, 256, 1.08649, 5195898
6, RSVD, 32, 512, 1.07272, 10917232
6, RSVD, 32, 1024, 1.05296, 30662762
6, RSVD, 32, 2048, 1.02118, 65660348
6, RSVD, 32, 4096, 0.972067, 133864845
7, ABRIK, 1, 0, 1, 64776
7, ABRIK, 4, 4, 1.39376, 96387
7, ABRIK, 4, 8, 1.06203, 176373
7, ABRIK, 4, 16, 1.67864, 328448
7, ABRIK, 4, 32, 0.970834, 649613
7, ABRIK, 4, 64, 0.270846, 1299156
7, ABRIK, 4, 128, 0.094076, 2846570
7, ABRIK, 4, 256, 0.036219, 7748473
7, ABRIK, 4, 512, 0.00921428, 17293349
7, ABRIK, 4, 1024, 0.00040529, 41156162
